市  町  村,面積,世帯数,人口(2023.10.1),,,人口増減数(2022.10.1～2023.9.30),,人口密度(１K㎡当たり),人口割合（2020.10.1),,民営事業所(2021.6.1),,製造品出荷額等,年間商品販売額,総農家数,経営耕地面積,自動車保有車両総数,普通会計歳出決算額,個人住民税負担額,交通事故発生件数,刑法犯認知件数
,(2023.10.1),(2023.10.1),総数,男性,女性,自然増減,社会増減,(2023.10.1),15歳未満,65歳以上,事業所数,従業者数,(2020年),(2020年),(2020.2.1),(2020.2.1),(2022年度),(2022年度),(2022年度),(2022年),(2022年)
,㎢,世帯,人,,,,,人/k㎡,％,,所,人,百万円,,戸,ha,台,百万円,,件,
総数,1905,4253267,8774574,4195241,4579333,-49883,37043,4605,12,28,384332,4528208,16975793,53644294,20813,7211,3547923,4687642831,885434865,25509,68807
大阪市,225,1530572,2770520,1332998,1437522,-15792,29505,12295,11,26,177184,2308581,3531494,39727428,348,94,826863,1906782922,293649039,8440,33705
堺市,150,371909,812027,386093,425934,-5057,525,5420,12,29,27315,320831,3551590,1771143,2172,677,392740,454091696,78093740,2579,5194
岸和田市,73,80509,186011,88115,97896,-1370,98,2558,12,29,7050,67500,227616,301620,1094,393,108537,84143922,15721160,519,1129
豊中市,36,180070,399179,187347,211832,-1516,905,10969,14,26,13180,130490,303425,1216478,238,86,137647,179343577,51862737,989,1736
池田市,22,49612,104388,49389,54999,-488,159,4715,12,27,3629,37602,1541642,166054,240,89,39690,40804878,11836609,234,557
吹田市,36,188560,392536,187800,204736,-534,2001,10877,14,24,11703,153596,302841,1815439,148,53,124804,156308636,49991548,739,1629
泉大津市,14,33173,73171,34592,38579,-289,85,5106,12,26,3033,27677,132612,314577,125,28,36923,34024014,6592465,285,578
高槻市,105,155769,348809,165548,183261,-1759,346,3313,12,30,9224,106438,381585,589427,1213,384,130347,145040626,35245992,656,1633
貝塚市,44,33677,81665,39161,42504,-656,-74,1859,13,28,3139,29984,207916,119090,606,248,50155,37675219,6898357,288,435
守口市,13,68283,140593,67777,72816,-995,25,11062,11,29,5881,54596,130728,267190,67,25,51268,71984520,12461268,374,1162
枚方市,65,175992,392256,185352,206904,-2410,346,6024,12,30,9839,121833,748820,505352,1055,340,164507,160424875,38328350,1173,1458
茨木市,76,129966,290074,139261,150813,-507,1551,3792,14,25,8945,107328,297646,979641,1102,392,116924,112668857,31702066,721,1583
八尾市,42,116191,260134,123358,136776,-1807,357,6235,12,29,10930,109238,822234,621498,859,233,118241,122716726,24194079,657,1972
泉佐野市,57,45577,99220,47409,51811,-624,928,1756,11,26,4636,52394,256211,251594,843,377,62569,76316581,8370381,422,681
富田林市,40,46651,106086,49544,56542,-824,-63,2671,11,30,3388,33751,138360,114455,1094,361,58672,45231070,9861519,304,489
寝屋川市,25,103265,225078,108072,117006,-1590,-284,9112,11,31,6742,66380,169644,360409,378,133,88896,105438872,19620838,802,1465
河内長野市,110,42314,97576,45410,52166,-1005,-351,890,10,36,2688,25984,99102,89716,788,225,54614,40530981,8754500,222,327
松原市,17,53292,115331,55306,60025,-889,492,6923,11,31,4362,38481,142312,211552,448,110,54189,50341728,9469961,419,939
大東市,18,53352,116301,56255,60046,-637,-299,6366,12,27,4208,48082,355386,198533,149,39,51688,52574118,10137880,295,928
和泉市,85,75378,181987,87446,94541,-879,-282,2142,14,26,5742,58022,181656,341969,1006,371,103541,73259622,16639924,603,1065
箕面市,48,59596,137416,65343,72073,-554,655,2869,15,26,4159,41403,35504,344382,415,133,60303,71862843,17676142,306,549
柏原市,25,30707,67219,32139,35080,-388,-77,2654,11,29,2200,22586,272382,111795,218,87,21414,29006677,5957103,171,336
羽曳野市,26,46112,106761,50093,56668,-807,11,4036,11,31,3394,32646,119745,129020,563,190,55513,44762085,8887222,289,438
門真市,12,58152,116210,56906,59304,-1012,1,9448,10,30,5128,64653,682175,324541,123,40,53021,64438586,9564978,344,1241
摂津市,15,41213,87059,42663,44396,-252,168,5855,12,26,3935,50144,438478,343863,161,48,49131,42936807,8312572,330,586
