１３　市町村の主要指標,,,,,,,,,,,,,,,,,,,,,
市 　町　 村,面積,世帯数,人口(2018.10.1),,,人口増減数(2017.10～2018.9),,人口割合（2015.10.1),,民営事業所(2016.6.1),,製造品出荷額等,年間商品販売額,農業(2015.2.1),,新設住宅着工戸数,自動車保有車両数,普通会計歳出決算額,個人住民税負担額,交通事故発生件数,刑法犯認知件数
,(2018.10.1),(2018.10.1),総数,男性,女性,自然増減,社会増減,15歳未満,65歳以上,事業所数,従業者数,(2016.6.1),(2015年),総農家数,経営耕地面積,(2017年),(2017年度）,(2017年度）,（2017年度）,（2017年）,（2017年）
,km2,世帯,人,人,人 ,人 ,人 ,％ ,％ ,事業所 ,人 ,百万円,,戸 ,ha ,戸 ,台,,,件 ,件 
総数,1905,4037122,8824566,4239165,4585401,-23578,16502,13,26,392940,4393139,15819650,55693043,23983,8456,68963,3510840,4098045,489135,35997,107023
大阪市,225,1412983,2725006,1315742,1409264,-8280,20129,11,25,179252,2209412,3557798,41563672,376,105,31923,815399,1740813,150519,11863,48977
堺市,150,356779,831017,397512,433505,-1951,-1299,14,27,28733,314806,3247070,1754618,2566,793,5132,386771,397393,44631,3893,8659
岸和田市,73,76407,191134,91138,99996,-714,-789,14,26,7230,62794,236920,315188,1222,465,725,107225,75560,8916,1026,2380
豊中市,36,174578,398295,188083,210212,-233,1038,14,25,13044,127496,300882,1087565,275,89,2413,134716,143711,29282,1091,3073
池田市,22,47662,104115,49985,54130,-203,325,13,26,3647,38172,587422,148651,292,110,888,39611,35913,6810,348,810
吹田市,36,174433,380634,183070,197564,291,1097,14,23,11526,144593,281782,1919875,172,61,3350,122827,123358,27633,1049,2842
泉大津市,14,31604,74880,35589,39291,-90,-230,14,24,3269,29108,145053,358216,134,29,505,37123,28664,3709,479,886
高槻市,105,150183,349454,166679,182775,-650,-41,13,28,9320,102933,395018,555036,1343,429,2150,130462,111410,20373,1022,2588
貝塚市,44,33633,86488,41586,44902,-315,-690,15,25,3295,29170,261196,150626,681,264,283,49268,31737,4046,480,784
守口市,13,66301,142025,68352,73673,-595,133,11,29,6127,53891,130733,262998,79,30,1420,50435,64805,6965,653,1797
枚方市,65,170791,400690,190595,210095,-1038,-277,13,27,10074,120556,700167,503476,1224,411,2082,162706,134002,22867,1502,2713
茨木市,76,120437,282886,136724,146162,224,650,15,23,9279,102324,340707,1120555,1239,450,2360,113963,86417,17757,983,2576
八尾市,42,113101,266920,127121,139799,-920,259,13,27,11940,110440,903446,633927,975,275,1457,115897,98630,13867,1085,2936
泉佐野市,57,43137,100478,48105,52373,-356,267,13,25,4694,53093,251278,319357,1029,488,891,60635,73985,4664,705,1235
富田林市,40,46329,111032,52205,58827,-531,-472,12,27,3304,33193,139899,97771,1202,397,484,58595,40821,6040,523,902
寝屋川市,25,102207,231821,112001,119820,-781,-1281,11,29,7096,69396,185879,387457,450,160,1027,91749,88253,11234,972,2215
河内長野市,110,42274,103380,48281,55099,-629,-704,11,31,2701,25566,84367,108867,844,238,235,55676,33449,5539,364,579
松原市,17,51143,119021,57148,61873,-558,36,12,29,4607,39255,133478,196391,562,143,629,53175,44545,5326,568,1420
大東市,18,52695,120593,58950,61643,-295,-721,13,26,4606,51173,239328,202777,176,52,489,51632,44793,5738,346,1574
和泉市,85,73319,185252,89343,95909,-352,164,15,23,5887,56223,173689,305688,1107,396,894,99545,64008,9461,717,1555
箕面市,48,58794,136092,65048,71044,-41,368,14,26,4215,41537,22748,368928,473,160,1043,57809,61306,10261,371,819
柏原市,25,29270,69157,33037,36120,-311,-331,12,26,2268,23782,258124,92121,256,91,300,30024,23578,3491,333,511
羽曳野市,26,44861,110457,52090,58367,-544,-220,13,28,3638,33235,132121,131936,691,244,562,54921,38880,5267,421,935
門真市,12,56829,120751,59069,61682,-659,-526,12,28,5462,65823,334427,285065,162,55,628,52889,51394,5394,479,1623
摂津市,15,38013,85203,42313,42890,84,392,13,24,4082,50781,406346,421729,182,58,442,47607,32946,4453,401,852
高石市,11,23036,56360,26688,29672,-210,118,13,27,2036,18889,794829,52194,118,27,451,26586,22952,3162,261,583
藤井寺市,9,27449,64217,30178,34039,-233,-242,13,27,2665,19539,47501,89058,194,42,323,27752,24951,3402,264,596
東大阪市,62,227669,496082,242179,253903,-1945,-72,12,28,24644,231607,1048870,1797420,556,141,3100,212929,199149,23960,2205,6787
泉南市,49,23173,60973,29156,31817,-243,-350,14,27,2128,23101,84620,85399,617,256,144,35876,23529,2384,270,646
四條畷市　,19,22474,55563,27055,28508,-150,180,14,26,1862,15197,27075,49978,192,73,374,24422,20345,2780,150,597
交野市,26,29834,76355,36537,39818,-84,50,14,26,1934,17038,85648,65231,449,150,401,35081,23465,4333,247,477
大阪狭山市,12,23735,58482,27424,31058,-79,423,14,27,1835,20425,54600,66403,320,110,380,28451,18851,3528,234,480
阪南市,36,20983,52504,24925,27579,-290,-378,13,29,1506,11165,25416,31123,410,116,138,30950,19034,2447,154,349
島本町,17,12209,29933,14203,15730,-1,-28,15,26,610,6926,55361,31487,141,41,790,10313,11513,1763,41,123
豊能町,34,7718,18740,8892,9848,-177,-218,8,39,311,1986,1923,6172,321,174,27,11491,6612,1103,31,55
能勢町,99,3660,9471,4523,4948,-122,-96,8,35,365,3224,10346,6589,996,655,9,9988,4740,404,32,46
忠岡町,4,6832,16935,8072,8863,-87,11,14,27,580,5962,58072,28176,68,18,69,10370,6504,734,94,190
熊取町,17,16916,44078,21550,22528,-108,18,14,26,1239,9930,27566,26328,334,127,219,24818,12538,2251,160,305
田尻町,6,3890,8606,4301,4305,0,67,15,23,386,6422,6459,36050,72,22,71,4654,10044,355,44,172
岬町,49,6377,15295,7120,8175,-196,-94,10,36,452,3597,2545,6588,163,40,48,10099,9103,661,42,116
太子町,14,5132,13309,6492,6817,-46,-123,14,26,402,2766,12044,6045,318,115,32,9230,4904,655,50,44
河南町,25,6280,15858,7711,8147,-98,3,12,29,491,4787,11923,9797,709,256,71,12306,5900,755,38,76
千早赤阪村,37,1992,5024,2393,2631,-62,-44,9,41,198,1826,14972,6519,293,101,4,4757,3544,215,6,21
資料出所,国土地理院,大阪府統計課,,,,,,,,総務省
経済産業省,,大阪府統計課,総務省
経済産業省,,,国土交通省,(財)自動車
検査登録情報協会,大阪府市町村課
大阪府徴税対策課,,大阪府
警察本部,
