大阪府の住民基本台帳人口（平成30年1月1日現在）,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
市町村名,,人口,人口,人口,人口,世帯数,世帯数,世帯数
,,男,男,女,女,世帯数,世帯数,世帯数
,,日本人,外国人,日本人,外国人,日本人,外国人,複数国籍
大阪市,都島区,48730,1533,52821,1471,52977,1798,545
大阪市,福島区,34049,622,37750,741,38573,736,317
大阪市,此花区,32189,920,33364,1001,33030,1068,378
大阪市,西区,43651,2044,48621,2228,52878,2713,747
大阪市,港区,38685,1393,40031,1312,41272,1581,451
大阪市,大正区,32147,737,32915,703,32738,785,295
大阪市,天王寺区,33119,1975,38255,2447,35708,2386,764
大阪市,浪速区,30260,3865,28278,4415,40402,5690,976
大阪市,西淀川区,46406,1786,47215,1786,45875,1929,562
大阪市,東淀川区,81656,3232,83219,3357,91487,4285,931
大阪市,東成区,36358,3331,39064,3760,39715,3956,988
大阪市,生野区,48576,13188,51162,14585,51577,15390,2918
大阪市,旭区,42465,1079,45888,1114,45927,1333,384
大阪市,城東区,78527,2461,85385,2821,81184,3071,935
大阪市,阿倍野区,49193,1371,56863,1451,51470,1726,537
大阪市,住吉区,70099,2021,78922,2070,76073,2240,785
大阪市,東住吉区,60734,1669,66515,1795,64372,1938,713
大阪市,西成区,58143,4580,41134,3983,65268,5834,975
大阪市,淀川区,84378,2994,85507,3258,95405,3806,1097
大阪市,鶴見区,53160,921,57844,1029,49081,855,534
大阪市,住之江区,57660,1603,61663,1811,59977,1762,738
大阪市,平野区,90767,3922,99046,4115,91883,3976,1464
大阪市,北区,57129,2452,61124,2703,71597,3039,938
大阪市,中央区,42386,3264,47797,4663,56340,5006,1323
堺市,堺区,69855,1970,72286,2305,72392,2543,757
堺市,中区,59901,698,63146,665,53995,704,361
堺市,東区,41008,350,45120,332,38315,328,187
堺市,西区,66383,847,70923,830,61500,866,397
堺市,南区,67047,1372,76255,1320,64284,1052,515
堺市,北区,74815,887,82170,1048,72439,976,500
堺市,美原区,18611,451,19804,223,16138,461,112
岸和田市,,93513,1086,101192,1080,85176,1211,414
豊中市,,190792,2621,209753,2808,185217,2850,1222
池田市,,48955,857,52891,853,46497,1013,325
吹田市,,175375,2433,190014,2761,165931,2969,1054
泉大津市,,35549,567,38480,675,33029,666,283
高槻市,,167864,1380,182673,1646,157294,1457,797
貝塚市,,42064,353,45133,386,37034,374,194
守口市,,69008,1100,72683,1311,69509,1195,587
枚方市,,192319,2001,207542,2127,175780,2060,971
茨木市,,135168,1472,143366,1669,121997,1698,697
八尾市,,124841,3484,135721,3596,118897,3453,1185
泉佐野市,,47870,753,51189,927,44823,1082,272
富田林市,,52961,619,58856,495,49866,642,232
寝屋川市,,112909,1401,119957,1438,107260,1427,733
河内長野市,,50550,282,56192,256,46965,252,191
松原市,,57459,719,61952,705,54795,708,381
大東市,,58240,1434,60729,1370,54099,1605,443
和泉市,,89185,1070,94790,1111,75905,1163,513
箕面市,,64678,1302,70540,1460,58445,1769,440
柏原市,,33076,639,35785,618,30254,802,194
羽曳野市,,53272,417,58495,535,49229,514,271
門真市,,59569,1409,61119,1535,59990,1449,534
摂津市,,41889,675,42257,583,39048,687,275
高石市,,27488,251,29945,248,24977,244,140
藤井寺市,,30814,283,33898,316,28499,308,178
東大阪市,,231290,8384,243259,9006,224372,9260,2808
泉南市,,30094,328,32021,353,25512,377,164
四條畷市,,27055,251,28229,259,23677,254,150
交野市,,37381,222,40042,254,31851,203,144
大阪狭山市,,27454,173,30418,187,24924,167,109
阪南市,,26267,165,28700,145,23971,122,123
三島郡,島本町,14458,67,15975,101,12792,53,74
豊能郡,豊能町,9532,37,10404,52,8539,32,44
豊能郡,能勢町,4984,39,5337,33,4509,45,19
泉北郡,忠岡町,8111,232,8682,245,7338,288,66
泉南郡,熊取町,21229,123,22461,114,17607,117,84
泉南郡,田尻町,4316,59,4335,57,4076,84,23
泉南郡,岬町,7506,88,8445,93,7479,123,40
南河内郡,太子町,6633,56,6849,32,5400,53,25
南河内郡,河南町,7583,52,8052,42,6414,55,21
南河内郡,千早赤阪村,2529,13,2810,10,2307,10,7
