市町村名,,人口,人口,人口,人口,世帯数,世帯数,世帯数
,,男,男,女,女,世帯数,世帯数,世帯数
,,日本人,外国人,日本人,外国人,日本人,外国人,複数国籍
大阪市,都島区,48264,1205,51852,1393,50421,1399,535
大阪市,福島区,32699,577,35973,727,35968,685,290
大阪市,此花区,32724,757,33857,869,32367,742,374
大阪市,西区,39385,1462,43483,1674,46732,1819,658
大阪市,港区,39918,1132,40886,1153,41121,1164,449
大阪市,大正区,33454,578,34074,647,32575,568,329
大阪市,天王寺区,31432,1710,36058,2160,33483,1923,709
大阪市,浪速区,28612,2748,26474,3094,37265,3729,881
大阪市,西淀川区,47233,1447,47501,1619,44721,1476,510
大阪市,東淀川区,82855,2640,83912,3058,88461,3296,924
大阪市,東成区,35865,3158,38473,3662,37598,3334,981
大阪市,生野区,49766,13024,51983,14850,50632,13726,2903
大阪市,旭区,43390,941,46585,1035,45444,1084,373
大阪市,城東区,77878,2219,84041,2559,77926,2556,907
大阪市,阿倍野区,48465,1106,56172,1157,50439,1208,480
大阪市,住吉区,71371,1595,79691,1747,74931,1631,763
大阪市,東住吉区,61592,1397,66766,1513,63077,1389,691
大阪市,西成区,61831,3346,43608,3065,68061,3732,954
大阪市,淀川区,82457,2438,83674,2851,90172,2989,1010
大阪市,鶴見区,53239,849,57420,1000,47525,767,511
大阪市,住之江区,59766,1351,63551,1666,59211,1382,761
大阪市,平野区,93158,3607,101216,3931,89723,3325,1465
大阪市,北区,51902,1993,55826,2310,64117,2467,822
大阪市,中央区,38492,2912,42658,4416,49834,4439,1311
堺市,堺区,70427,1579,72762,1958,70585,1826,725
堺市,中区,60645,517,63592,587,52343,464,345
堺市,東区,41434,280,45173,299,37150,272,179
堺市,西区,66248,715,70471,761,59447,693,373
堺市,南区,71120,1296,79795,1395,64882,959,551
堺市,北区,74871,788,81498,999,70424,838,488
堺市,美原区,19137,340,20210,210,15788,348,114
岸和田市,,95867,893,103389,928,83491,876,407
豊中市,,189091,2104,206408,2483,179549,2301,1075
池田市,,48920,593,52655,796,44861,803,301
吹田市,,171400,2007,184341,2335,158145,2244,954
泉大津市,,36214,496,39144,680,32464,557,275
高槻市,,170168,1272,183421,1527,154392,1222,768
貝塚市,,43242,264,46329,317,36407,240,182
守口市,,69863,1093,73268,1277,68421,1129,566
枚方市,,195614,1760,209233,2003,171733,1823,863
茨木市,,134268,1105,140924,1392,117571,1141,647
八尾市,,127022,3094,136685,3506,116231,2987,1101
泉佐野市,,48714,405,51999,567,43481,515,254
富田林市,,55091,462,60850,448,49204,462,227
寝屋川市,,116343,1240,122303,1454,106032,1214,743
河内長野市,,53093,264,58562,254,46858,236,181
松原市,,59070,621,63228,692,53603,597,366
大東市,,59933,1272,61889,1343,53135,1395,406
和泉市,,90230,915,95320,1041,73303,927,507
箕面市,,63428,1173,68551,1151,56208,1386,398
柏原市,,34439,577,37059,561,30157,688,150
羽曳野市,,55003,365,60092,444,48556,356,259
門真市,,61940,1251,62977,1470,59144,1216,522
摂津市,,41734,512,41501,560,37242,501,270
高石市,,28096,180,30371,240,24510,185,121
藤井寺市,,31463,258,34404,309,28214,316,188
東大阪市,,237175,7888,247475,8811,220800,8098,2755
泉南市,,31022,206,32927,317,25088,231,149
四條畷市,,27859,244,28587,261,23330,242,151
交野市,,37718,202,40088,253,30908,183,144
大阪狭山市,,27448,141,30099,169,24079,122,117
阪南市,,27392,141,29751,151,23374,98,128
三島郡,島本町,14678,68,16041,94,12593,49,68
豊能郡,豊能町,10431,37,11310,45,8677,24,40
豊能郡,能勢町,5540,26,5907,31,4628,32,17
泉北郡,忠岡町,8423,252,8932,281,7250,273,79
泉南郡,熊取町,21562,81,22720,87,17174,67,77
泉南郡,田尻町,4195,54,4245,57,3819,83,18
泉南郡,岬町,7969,41,8993,55,7631,48,33
南河内郡,太子町,6911,29,7183,39,5279,22,33
南河内郡,河南町,7844,33,8241,35,6277,36,24
南河内郡,千早赤阪村,2768,15,3066,10,2345,10,10
