地域階層,地域コード,地域,人口総数（日本人＋外国人）,前月人口総数との増減,人口／日本人／総数,人口／日本人／男,人口／日本人／女,人口／外国人／総数,人口／外国人／男,人口／外国人／女,世帯数／総世帯数,世帯数／日本人のみの世帯数,世帯数／外国人のみの世帯数,世帯数／日本人と外国人の複数国籍世帯数
0,13000,総数,13202041,-1980,12807631,6335735,6471896,394410,185156,209254,6699669,6409857,207239,82573
1,13100,区部,9016342,-1663,8685756,4287211,4398545,330586,156754,173832,4763324,4521391,177673,64260
1,13200,市部,4099405,-246,4036448,2005330,2031118,62957,28070,34887,1895805,1848615,29271,17919
2,13300,郡部,58956,-44,58316,29320,28996,640,272,368,25347,24871,214,262
2,13350,島部,27338,-27,27111,13874,13237,227,60,167,15193,14980,81,132
1,13100,区部,9016342,-1663,8685756,4287211,4398545,330586,156754,173832,4763324,4521391,177673,64260
4,13101,千代田区,54160,12,51703,25576,26127,2457,1400,1057,30429,28542,1543,344
4,13102,中央区,132610,260,127694,60691,67003,4916,2533,2383,76455,72653,2867,935
4,13103,港区,235337,-115,217233,101568,115665,18104,9570,8534,134387,121684,9835,2868
4,13104,新宿区,324082,-238,289961,144882,145079,34121,16917,17204,201060,174198,23501,3361
4,13105,文京区,204258,138,197171,93905,103266,7087,3386,3701,111046,105452,4457,1137
4,13106,台東区,187792,193,174990,89986,85004,12802,6212,6590,107941,98543,7519,1879
4,13107,墨田区,254627,56,245318,123489,121829,9309,3787,5522,136065,129197,4428,2440
4,13108,江東区,487142,314,465908,232088,233820,21234,9717,11517,244836,231181,9466,4189
4,13109,品川区,368761,100,358315,175789,182526,10446,5050,5396,202694,195107,5210,2377
4,13110,目黒区,267379,-229,260397,122359,138038,6982,3689,3293,148794,143390,3864,1540
4,13111,大田区,701416,-215,682871,342266,340605,18545,8602,9943,364423,351085,8890,4448
4,13112,世田谷区,867552,-31,852707,405927,446780,14845,7558,7287,451965,440266,7745,3954
4,13113,渋谷区,214665,17,205785,98159,107626,8880,4865,4015,129406,122631,5047,1728
4,13114,中野区,313665,-394,302716,152374,150342,10949,5343,5606,187895,178897,7144,1854
4,13115,杉並区,542956,-268,532247,255732,276515,10709,5192,5517,301516,292789,6451,2276
4,13116,豊島区,271643,33,252110,127168,124942,19533,9376,10157,163481,147980,13302,2199
4,13117,北区,334723,-135,320165,159254,160911,14558,6757,7801,180230,169980,7784,2466
4,13118,荒川区,207635,-100,192076,96115,95961,15559,7423,8136,107063,96463,8325,2275
4,13119,板橋区,540040,-87,523326,260279,263047,16714,7345,9369,282640,270311,8624,3705
4,13120,練馬区,711212,-195,698354,343353,355001,12858,5741,7117,347096,337454,6173,3469
4,13121,足立区,670385,-215,647869,326549,321320,22516,9598,12918,319486,304913,8391,6182
