地域階層,地域コード,地域,人口総数（日本人＋外国人）,前月人口総数との増減,人口／日本人／総数,人口／日本人／男,人口／日本人／女,人口／外国人／総数,人口／外国人／男,人口／外国人／女,世帯数／総世帯数,世帯数／日本人のみの世帯数,世帯数／外国人のみの世帯数,世帯数／日本人と外国人の複数国籍世帯数
0,13000,総数,13130762,-6152,12740088,6306859,6433229,390674,181731,208943,6633677,6346818,206314,80545
1,13100,区部,8951575,-4919,8624309,4258894,4365415,327266,153851,173415,4710069,4470747,176744,62578
1,13200,市部,4092197,-1153,4029607,2004436,2025171,62590,27593,34997,1883092,1836213,29287,17592
2,13300,郡部,59187,-18,58588,29458,29130,599,235,364,25192,24743,197,252
2,13350,島部,27803,-62,27584,14071,13513,219,52,167,15324,15115,86,123
1,13100,区部,8951575,-4919,8624309,4258894,4365415,327266,153851,173415,4710069,4470747,176744,62578
4,13101,千代田区,52284,-85,49734,24593,25141,2550,1410,1140,29393,27449,1613,331
4,13102,中央区,128628,59,123681,58657,65024,4947,2592,2355,74293,70467,2937,889
4,13103,港区,231538,-585,212685,99457,113228,18853,9988,8865,132474,119175,10584,2715
4,13104,新宿区,321172,-139,287598,143869,143729,33574,16262,17312,198189,172037,22916,3236
4,13105,文京区,201257,-79,194322,92505,101817,6935,3357,3578,109314,103906,4291,1117
4,13106,台東区,185368,-33,172865,88765,84100,12503,5946,6557,105877,96661,7414,1802
4,13107,墨田区,252018,-92,242805,122213,120592,9213,3697,5516,133607,126720,4471,2416
4,13108,江東区,480271,746,459382,228914,230468,20889,9493,11396,241052,227541,9536,3975
4,13109,品川区,366584,-322,356018,174718,181300,10566,5075,5491,200786,193107,5387,2292
4,13110,目黒区,264811,-80,257862,121182,136680,6949,3681,3268,147198,141799,3889,1510
4,13111,大田区,696734,-540,678534,340674,337860,18200,8365,9835,359776,346642,8791,4343
4,13112,世田谷区,860749,-186,845922,403296,442626,14827,7533,7294,448179,436603,7840,3736
4,13113,渋谷区,212061,-177,202616,96342,106274,9445,5057,4388,127587,120480,5400,1707
4,13114,中野区,311256,-179,300646,151223,149423,10610,5075,5535,185843,177165,6862,1816
4,13115,杉並区,540021,-203,529532,254658,274874,10489,5044,5445,299714,291182,6327,2205
4,13116,豊島区,268959,-412,249894,126113,123781,19065,9020,10045,161197,146085,12881,2231
4,13117,北区,333132,-112,318884,158539,160345,14248,6576,7672,178589,168459,7672,2458
4,13118,荒川区,206457,-188,191144,95699,95445,15313,7116,8197,105760,95408,8144,2208
4,13119,板橋区,537375,-418,521141,259388,261753,16234,7077,9157,279772,267741,8430,3601
4,13120,練馬区,709262,-371,696522,342647,353875,12740,5613,7127,344228,334731,6099,3398
4,13121,足立区,669143,-373,646861,326185,320676,22282,9541,12741,317001,302487,8470,6044
4,13122,葛飾区,447170,-486,433451,217861,215590,13719,6078,7641,213634,204218,6127,3289
4,13123,江戸川区,675325,-664,652210,331396,320814,23115,10255,12860,316606,300684,10663,5259
1,13200,市部,4092197,-1153,4029607,2004436,2025171,62590,27593,34997,1883092,1836213,29287,17592
4,13201,八王子市,564500,-202,555517,279376,276141,8983,3921,5062,254184,247328,4444,2412
4,13202,立川市,178407,-85,175113,87527,87586,3294,1404,1890,84841,82585,1326,930
4,13203,武蔵野市,138868,-43,136688,65596,71092,2180,1071,1109,72329,70542,1234,553
4,13204,三鷹市,180144,-132,177300,87219,90081,2844,1328,1516,89350,87030,1515,805
4,13205,青梅市,138739,3,137294,69076,68218,1445,513,932,60483,59388,484,611
4,13206,府中市,251858,-178,247752,125659,122093,4106,1699,2407,117380,114303,1978,1099
4,13207,昭島市,113166,-76,111156,55777,55379,2010,887,1123,51858,50493,804,561
4,13208,調布市,223163,-72,219613,108386,111227,3550,1660,1890,109904,107241,1661,1002
4,13209,町田市,425762,403,421015,207567,213448,4747,2126,2621,185300,181816,1977,1507
4,13210,小金井市,116050,-58,113954,56746,57208,2096,998,1098,56234,54606,1212,416
4,13211,小平市,185677,12,181771,90136,91635,3906,1834,2072,85564,82446,2396,722
4,13212,日野市,178731,-40,176324,89033,87291,2407,1056,1351,82169,80337,1202,630
4,13213,東村山市,152863,-39,150770,74360,76410,2093,890,1203,70137,68629,829,679
4,13214,国分寺市,118035,0,116400,57779,58621,1635,753,882,55940,54660,905,375
4,13215,国立市,74566,-122,73280,36292,36988,1286,570,716,35418,34504,595,319
4,13218,福生市,59124,-55,56724,28601,28123,2400,1140,1260,28978,27191,1259,528
4,13219,狛江市,77109,4,76200,37355,38845,909,407,502,38509,37783,424,302
4,13220,東大和市,84841,45,83830,41636,42194,1011,360,651,36630,35940,338,352
4,13221,清瀬市,74063,9,73096,35424,37672,967,397,570,33509,32816,340,353
4,13222,東久留米市,115840,33,114248,56420,57828,1592,633,959,51344,50236,503,605
4,13223,武蔵村山市,72101,-21,71030,35681,35349,1071,411,660,29753,29014,329,410
4,13224,多摩市,145719,-184,143681,70971,72710,2038,837,1201,66879,65354,922,603
4,13225,稲城市,85877,-21,84795,42939,41856,1082,519,563,36404,35648,407,349
4,13227,羽村市,57237,-72,55960,28553,27407,1277,557,720,25046,24167,541,338
4,13228,あきる野市,81952,-22,81312,40745,40567,640,255,385,33696,33229,225,242
4,13229,西東京市,197805,-240,194784,95582,99202,3021,1367,1654,91253,88927,1437,889
1,13550,町村部,86990,-80,86172,43529,42643,818,287,531,40516,39858,283,375
2,13300,郡部,59187,-18,58588,29458,29130,599,235,364,25192,24743,197,252
4,13303,瑞穂町,33883,7,33393,16980,16413,490,201,289,14051,13688,167,196
4,13305,日の出町,16954,-7,16877,8359,8518,77,22,55,7119,7059,20,40
4,13307,檜原村,2526,-8,2515,1260,1255,11,2,9,1214,1206,5,3
4,13308,奥多摩町,5824,-10,5803,2859,2944,21,10,11,2808,2790,5,13
2,13350,島部,27803,-62,27584,14071,13513,219,52,167,15324,15115,86,123
3,13360,大島支庁,13707,-23,13649,6803,6846,58,31,27,7229,7174,30,25
4,13361,大島町,8433,-15,8384,4210,4174,49,28,21,4821,4775,29,17
4,13362,利島村,316,0,316,167,149,0,0,0,173,173,0,0
4,13363,新島村,2979,-9,2974,1432,1542,5,2,3,1369,1364,0,5
4,13364,神津島村,1979,1,1975,994,981,4,1,3,866,862,1,3
3,13380,三宅支庁,3099,-8,3064,1663,1401,35,4,31,1907,1875,20,12
4,13381,三宅村,2782,-7,2748,1490,1258,34,4,30,1735,1704,20,11
4,13382,御蔵島村,317,-1,316,173,143,1,0,1,172,171,0,1
3,13400,八丈支庁,8404,-10,8296,4167,4129,108,9,99,4767,4664,26,77
4,13401,八丈町,8229,-10,8123,4068,4055,106,9,97,4657,4556,26,75
4,13402,青ヶ島村,175,0,173,99,74,2,0,2,110,108,0,2
3,13420,小笠原支庁,2593,-21,2575,1438,1137,18,8,10,1421,1402,10,9
4,13421,小笠原村,2593,-21,2575,1438,1137,18,8,10,1421,1402,10,9
,,,,,,,,,,,,,,
住民基本台帳による世帯と人口_平成25年１月,,,,,,,,,,,,,,
住民基本台帳による世帯と人口（日本人及び外国人）平成25年１月１日現在,,,,,,,,,,,,,,
注）町村部は、郡部と島部を含む地域である。,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,
