地域階層,地域コード,地域,人口総数（日本人＋外国人）,前月人口総数との増減,人口／日本人／総数,人口／日本人／男,人口／日本人／女,人口／外国人／総数,人口／外国人／男,人口／外国人／女,世帯数／総世帯数,世帯数／日本人のみの世帯数,世帯数／外国人のみの世帯数,世帯数／日本人と外国人の複数国籍世帯数
0,13000,総数,13415349,740,12966307,6404647,6561660,449042,216955,232087,6889954,6555980,248127,85847
1,13100,区部,9205712,855,8827070,4351204,4475866,378642,184630,194012,4915330,4634805,213518,67007
1,13200,市部,4124234,-60,4054848,2010793,2044055,69386,31865,37521,1933673,1881039,34188,18446
2,13300,郡部,58646,-4,57889,29055,28834,757,367,390,25855,25281,308,266
2,13350,島部,26757,-51,26500,13595,12905,257,93,164,15096,14855,113,128
1,13100,区部,9205712,855,8827070,4351204,4475866,378642,184630,194012,4915330,4634805,213518,67007
4,13101,千代田区,58576,-7,56022,27833,28189,2554,1422,1132,32871,30887,1583,401
4,13102,中央区,142995,339,137448,65270,72178,5547,2897,2650,82057,77823,3168,1066
4,13103,港区,243977,-254,225491,105157,120334,18486,9835,8651,138942,125903,10015,3024
4,13104,新宿区,334193,-147,295608,147799,147809,38585,19964,18621,209872,178782,27647,3443
4,13105,文京区,210312,-38,201979,96073,105906,8333,4054,4279,114459,107740,5533,1186
4,13106,台東区,191749,-38,177715,91369,86346,14034,7041,6993,111848,101278,8661,1909
4,13107,墨田区,261723,395,251050,125935,125115,10673,4500,6173,141769,133876,5389,2504
4,13108,江東区,501501,116,477172,237170,240002,24329,11370,12959,254002,238426,11126,4450
4,13109,品川区,378123,190,367103,180195,186908,11020,5357,5663,209048,200918,5627,2503
4,13110,目黒区,271469,-93,263694,124060,139634,7775,4122,3653,151257,145227,4290,1740
4,13111,大田区,712057,-144,691853,346171,345682,20204,9505,10699,374463,359994,9837,4632
4,13112,世田谷区,883289,299,866406,411522,454884,16883,8664,8219,461518,448086,9155,4277
4,13113,渋谷区,219898,-32,210391,100391,110000,9507,5160,4347,132932,125564,5625,1743
