地域階層,地域コード,地域,人口総数（日本人＋外国人）,前月人口総数との増減,人口／日本人／総数,人口／日本人／男,人口／日本人／女,人口／外国人／総数,人口／外国人／男,人口／外国人／女,世帯数／総世帯数,世帯数／日本人のみの世帯数,世帯数／外国人のみの世帯数,世帯数／日本人と外国人の複数国籍世帯数
4,13381,三宅村,2714,-2,2664,1450,1214,50,11,39,1742,1699,19,24
4,13382,御蔵島村,298,1,297,165,132,1,0,1,170,169,0,1
3,13400,八丈支庁,8088,-17,7985,4011,3974,103,8,95,4583,4483,25,75
4,13401,八丈町,7921,-18,7820,3918,3902,101,8,93,4472,4374,25,73
4,13402,青ヶ島村,167,1,165,93,72,2,0,2,111,109,0,2
3,13420,小笠原支庁,2553,-3,2534,1412,1122,19,9,10,1417,1399,8,10
4,13421,小笠原村,2553,-3,2534,1412,1122,19,9,10,1417,1399,8,10
,,,,,,,,,,,,,,
住民基本台帳による世帯と人口_平成27年１月,,,,,,,,,,,,,,
住民基本台帳による世帯と人口（日本人及び外国人）平成27年１月１日現在,,,,,,,,,,,,,,
注）町村部は、郡部と島部を含む地域である。,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,
