１３　市町村の主要指標,,,,,,,,,,,,,,,,,,,,,
市 　町　 村,面積,世帯数,人口(2016.10.1),,,人口増減数(2015.10～2016.9),,人口割合（2015.10.1),,民営事業所(2014.7.1),,製造品出荷額等,年間商品販売額,農業(2015.2.1),,新設住宅着工戸数,自動車保有車両数,普通会計歳出決算額,個人住民税負担額,交通事故発生件数,刑法犯認知件数
,(2015.10.1),(2016.10.1),総数,男性,女性,自然増減,社会増減,15歳未満,65歳以上,事業所数,従業者数,(2014.12.31),(2012.2.1),総農家数,経営耕地面積,(2015年),(2015年度）,(2015年度）,（2015年度）,（2015年）,（2015年）
,km2,世帯,人,人,人 ,人 ,人 ,％ ,％ ,事業所 ,人 ,百万円,,戸 ,ha ,戸 ,台,,,件 ,件 
総数,1905,3962963,8837812,4252478,4585334,-14753,13096,13,26,413110,4487792,16529165,47303124,23983,8456,64204,3485475,3909962,788116,40607,132471
大阪市,225,1373670,2702033,1307162,1394871,-5530,16378,11,25,190629,2267364,3634826,34747852,376,105,31033,807901,1630073,236310,13308,57807
堺市,150,352768,837603,401280,436323,-1112,-595,14,27,29764,317936,3821279,1402024,2566,793,4811,383891,359595,72472,4300,11972
岸和田市,73,75619,193637,92432,101205,-514,-760,14,26,7541,65065,234296,281621,1222,465,867,106073,75789,14599,1278,2785
豊中市,36,171791,396014,187373,208641,78,457,14,25,13632,130814,254800,1226928,275,89,2576,133409,143122,47270,1320,3868
池田市,22,46568,103482,49607,53875,-68,481,13,26,3798,38441,511593,139954,292,110,787,39483,34422,11382,438,967
吹田市,36,171261,378322,182390,195932,677,3177,14,23,11881,143760,293872,1517514,172,61,3301,121901,121684,43940,1069,3439
泉大津市,14,31214,75551,36037,39514,-38,-308,14,24,3451,28840,164056,310588,134,29,275,37001,29094,5981,473,1159
高槻市,105,148804,350914,167485,183429,-410,-505,13,28,9680,104175,383786,515895,1343,429,1697,130557,116263,33816,1189,3410
貝塚市,44,33635,88345,42397,45948,-151,-198,15,25,3388,30709,254969,129476,681,264,312,48537,30866,6637,501,1073
守口市,13,65245,142459,68664,73795,-510,-73,11,29,6534,57508,131914,233943,79,30,740,50721,60819,11169,772,2680
枚方市,65,168514,402927,192168,210759,-532,-693,13,27,10484,121368,736614,424772,1224,411,1814,162201,133028,37184,1608,3564
茨木市,76,118094,281259,136111,145148,460,766,15,23,9473,104780,330598,953675,1239,450,1714,112277,84545,29028,1360,3057
八尾市,42,111466,268498,128084,140414,-714,412,13,27,12351,113468,974782,527728,975,275,1626,115224,106816,22278,1106,3668
泉佐野市,57,42051,100649,48317,52332,-336,19,13,25,4793,51188,233403,231215,1029,488,685,59679,61940,7489,702,1473
富田林市,40,45833,112993,53193,59800,-374,-617,12,27,3481,34190,136046,91874,1202,397,473,58236,39630,10074,605,1137
寝屋川市,25,101851,235686,114128,121558,-437,-1395,11,29,7522,71375,180771,305123,450,160,687,91144,80113,18454,863,2991
河内長野市,110,42224,105872,49614,56258,-481,-634,11,31,2822,25836,90853,89972,844,238,359,55610,34083,9399,378,802
松原市,17,50380,120253,57784,62469,-422,-75,12,29,4889,40554,139324,199478,562,143,628,53163,42555,8643,651,1722
大東市,18,52224,122524,59887,62637,-243,-450,13,26,4821,51454,234273,193462,176,52,634,51442,40298,9408,481,2095
和泉市,85,71788,185968,89788,96180,-182,41,15,23,5891,53226,162088,283282,1107,396,873,97853,57547,15403,852,1911
箕面市,48,57482,134435,64359,70076,44,980,14,26,4414,42254,21235,376032,473,160,804,56787,42032,16896,497,1269
柏原市,25,29039,70354,33636,36718,-162,-596,12,26,2397,24505,272081,84479,256,91,211,30199,25758,5783,332,567
羽曳野市,26,44312,111902,52869,59033,-349,-432,13,28,3828,36235,121295,120188,691,244,499,54703,39164,8676,535,1454
門真市,12,56310,122916,60276,62640,-392,-268,12,28,5809,72143,326531,262565,162,55,855,52644,52951,8675,515,2229
摂津市,15,37219,84941,42266,42675,87,-153,13,24,4249,51516,381703,354811,182,58,626,47004,40294,7144,438,1131
高石市,11,22708,56583,26795,29788,-81,135,13,27,2156,19303,945553,42491,118,27,358,26491,21697,5261,296,722
藤井寺市,9,27235,65075,30635,34440,-160,-203,13,27,2828,20992,45095,73284,194,42,313,27664,23076,5506,284,783
東大阪市,62,224743,500463,244739,255724,-1600,-721,12,28,25839,237677,1033262,1776095,556,141,2635,212095,205785,38745,2561,8163
泉南市,49,22956,62076,29725,32351,-141,-221,14,27,2199,23146,78080,66100,617,256,201,35372,22143,3874,280,793
四條畷市　,19,22267,55832,27284,28548,-70,-173,14,26,1761,13149,28973,34426,192,73,257,24528,19168,4603,194,594
交野市,26,29215,76383,36557,39826,-81,29,14,26,2067,17343,79611,70311,449,150,435,34742,25344,7146,278,577
大阪狭山市,12,23249,57993,27267,30726,-70,271,14,27,1896,19691,52263,54942,320,110,329,28063,18673,5805,347,582
阪南市,36,20892,53886,25589,28297,-189,-201,13,29,1580,11408,26042,28942,410,116,190,30875,18641,4090,164,415
島本町,17,12087,29970,14272,15698,29,-42,15,26,671,6958,60797,50605,141,41,130,10316,11319,2928,56,191
豊能町,34,7736,19519,9249,10270,-164,-251,8,39,326,2103,1972,5345,321,174,20,11776,6491,1953,34,65
能勢町,99,3693,9971,4772,5199,-111,-174,8,35,397,3161,8333,4569,996,655,8,10216,9191,706,32,29
忠岡町,4,6776,17187,8225,8962,-61,-50,14,27,608,6306,54323,22999,68,18,67,10240,6455,1160,114,242
熊取町,17,16605,44304,21639,22665,-80,-51,14,26,1245,9299,22579,22560,334,127,198,24469,13295,3709,174,399
田尻町,6,3732,8377,4187,4190,-11,-29,15,23,395,4695,6104,24025,72,22,41,4356,5216,626,31,180
岬町,49,6396,15730,7308,8422,-143,-65,10,36,476,4078,7347,6249,163,40,38,10252,7537,1106,82,134
太子町,14,5113,13634,6670,6964,-53,-61,14,26,423,2962,14314,5470,318,115,28,9260,4881,1108,52,75
河南町,25,6151,16027,7767,8260,-97,-2,12,29,520,4901,12121,6368,709,256,67,12209,5540,1303,45,127
千早赤阪村,37,2047,5265,2491,2774,-59,-54,9,41,201,1916,25407,3893,293,101,2,4803,3030,379,12,26
資料出所,国土地理院,大阪府統計課,,,,,,,,総務省
経済産業省,,大阪府統計課,総務省
経済産業省,,,国土交通省,(一財)自動車
検査登録情報協会,大阪府市町村課
大阪府徴税対策課,,大阪府
警察本部,
